Start Time,End Time,State,State Name
2022-01-02 09:00:00,2022-01-04 17:00:00,0,State 0
2022-01-04 18:00:00,2022-01-04 18:00:00,2,State 2
2022-01-04 19:00:00,2022-01-05 18:00:00,0,State 0
2022-01-05 19:00:00,2022-01-08 05:00:00,2,State 2
2022-01-08 06:00:00,2022-01-08 20:00:00,0,State 0
2022-01-08 21:00:00,2022-01-09 04:00:00,2,State 2
2022-01-09 05:00:00,2022-01-10 13:00:00,0,State 0
2022-01-10 14:00:00,2022-01-11 09:00:00,2,State 2
2022-01-11 10:00:00,2022-01-11 15:00:00,0,State 0
2022-01-11 16:00:00,2022-01-11 22:00:00,2,State 2
2022-01-11 23:00:00,2022-01-13 14:00:00,0,State 0
2022-01-13 15:00:00,2022-01-13 15:00:00,2,State 2
2022-01-13 16:00:00,2022-01-20 20:00:00,0,State 0
2022-01-20 21:00:00,2022-01-23 14:00:00,2,State 2
2022-01-23 15:00:00,2022-01-23 22:00:00,0,State 0
2022-01-23 23:00:00,2022-01-23 23:00:00,2,State 2
2022-01-24 00:00:00,2022-01-24 09:00:00,0,State 0
2022-01-24 10:00:00,2022-01-27 14:00:00,2,State 2
2022-01-27 15:00:00,2022-01-27 19:00:00,0,State 0
2022-01-27 20:00:00,2022-01-28 06:00:00,2,State 2
2022-01-28 07:00:00,2022-02-02 20:00:00,0,State 0
2022-02-02 21:00:00,2022-02-03 08:00:00,2,State 2
2022-02-03 09:00:00,2022-02-04 12:00:00,0,State 0
2022-02-04 13:00:00,2022-02-06 00:00:00,2,State 2
2022-02-06 01:00:00,2022-02-06 22:00:00,0,State 0
2022-02-06 23:00:00,2022-02-07 09:00:00,2,State 2
2022-02-07 10:00:00,2022-02-07 13:00:00,0,State 0
2022-02-07 14:00:00,2022-02-09 03:00:00,2,State 2
2022-02-09 04:00:00,2022-02-10 12:00:00,0,State 0
2022-02-10 13:00:00,2022-02-12 17:00:00,2,State 2
2022-02-12 18:00:00,2022-02-15 07:00:00,0,State 0
2022-02-15 08:00:00,2022-02-15 20:00:00,2,State 2
2022-02-15 21:00:00,2022-02-17 12:00:00,0,State 0
2022-02-17 13:00:00,2022-02-19 02:00:00,2,State 2
2022-02-19 03:00:00,2022-02-20 07:00:00,0,State 0
2022-02-20 08:00:00,2022-02-21 06:00:00,2,State 2
2022-02-21 07:00:00,2022-02-21 10:00:00,0,State 0
2022-02-21 11:00:00,2022-02-22 22:00:00,2,State 2
2022-02-22 23:00:00,2022-02-23 22:00:00,0,State 0
2022-02-23 23:00:00,2022-02-26 18:00:00,2,State 2
2022-02-26 19:00:00,2022-02-27 12:00:00,0,State 0
2022-02-27 13:00:00,2022-02-27 13:00:00,2,State 2
2022-02-27 14:00:00,2022-02-27 18:00:00,0,State 0
2022-02-27 19:00:00,2022-03-03 10:00:00,2,State 2
2022-03-03 11:00:00,2022-03-03 14:00:00,0,State 0
2022-03-03 15:00:00,2022-03-05 19:00:00,2,State 2
2022-03-05 20:00:00,2022-03-07 15:00:00,0,State 0
2022-03-07 16:00:00,2022-03-08 03:00:00,2,State 2
2022-03-08 04:00:00,2022-03-08 11:00:00,0,State 0
2022-03-08 12:00:00,2022-03-08 22:00:00,2,State 2
2022-03-08 23:00:00,2022-03-09 02:00:00,0,State 0
2022-03-09 03:00:00,2022-03-11 03:00:00,2,State 2
2022-03-11 04:00:00,2022-03-11 10:00:00,0,State 0
2022-03-11 11:00:00,2022-03-11 13:00:00,2,State 2
2022-03-11 14:00:00,2022-03-13 01:00:00,0,State 0
2022-03-13 02:00:00,2022-03-13 21:00:00,1,State 1
2022-03-13 22:00:00,2022-03-13 22:00:00,2,State 2
2022-03-13 23:00:00,2022-03-14 21:00:00,0,State 0
2022-03-14 22:00:00,2022-03-14 22:00:00,2,State 2
2022-03-14 23:00:00,2022-03-16 01:00:00,0,State 0
2022-03-16 02:00:00,2022-03-17 08:00:00,2,State 2
2022-03-17 09:00:00,2022-03-22 03:00:00,0,State 0
2022-03-22 04:00:00,2022-03-22 19:00:00,2,State 2
2022-03-22 20:00:00,2022-03-26 09:00:00,0,State 0
2022-03-26 10:00:00,2022-03-27 14:00:00,1,State 1
2022-03-27 15:00:00,2022-03-27 19:00:00,0,State 0
2022-03-27 20:00:00,2022-03-29 05:00:00,2,State 2
2022-03-29 06:00:00,2022-03-31 22:00:00,0,State 0
2022-03-31 23:00:00,2022-04-02 07:00:00,2,State 2
2022-04-02 08:00:00,2022-04-05 23:00:00,0,State 0
2022-04-06 00:00:00,2022-04-06 08:00:00,2,State 2
2022-04-06 09:00:00,2022-04-06 12:00:00,0,State 0
2022-04-06 13:00:00,2022-04-07 15:00:00,2,State 2
2022-04-07 16:00:00,2022-04-10 05:00:00,0,State 0
2022-04-10 06:00:00,2022-04-10 16:00:00,1,State 1
2022-04-10 17:00:00,2022-04-11 08:00:00,0,State 0
2022-04-11 09:00:00,2022-04-12 14:00:00,2,State 2
2022-04-12 15:00:00,2022-04-16 15:00:00,0,State 0
2022-04-16 16:00:00,2022-04-17 21:00:00,1,State 1
2022-04-17 22:00:00,2022-04-18 03:00:00,0,State 0
